Avg Threads Running,1,1,1.5,2.8,3.4,3.9,4.4,5,5.5,5.9,6.199999999999999,6.699999999999999,6.777777777777778,5.875,5.714285714285714,5.666666666666666,5.6,5.25,5,5,6,30,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,41,22,22,22,22,22,22,22,22,22,22,39,51.5,65.33333333333333,82.5,100.6,119.16666666666666,137.14285714285714,150.625,161.11111111111111,169.5,190.1,208.2,221.7,230.5,235.5,236,233.4,231.4,231.4,231.4,231.4,231.4,233,234.3,235,235.2,235.1,233.60000000000002
Peak Threads Connected,1,1,6,14,14,14,14,14,14,14,14,14,14,7,7,7,7,6,6,6,6,30,41,41,41,41,41,41,41,41,41,41,22,22,22,22,22,22,22,22,22,22,39,64,93,134,173,212,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
Peak Threads Running,1,1,1,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,5,17,17,17,17,17,17,17,17,17,17,5,5,5,5,5,5,5,5,5,5,18,50,79,123,157,198,232,236,236,236,236,236,236,236,236,236,236,236,239,239,241,241,241,241,241,241,241,241
Questions,38.77777777777778,37.66666666666667,85.22222222222223,205.22222222222223,359.11111111111114,495.11111111111114,645.4444444444445,768.6666666666667,871.2222222222223,966.6666666666667,1082,1150.4444444444446,995.517675,850.3974285714285,722.9016666666666,579.96552,463.47105,366.6671333333333,280.8162,175.0138,231.21620689655174,200.2,200.2,200.2,200.2,200.2,200.2,200.2,166.2251724137931,132.43076923076924,167.2780020975354,211.3453904368765,253.66479044211601,293.2759136280302,336.36199740596624,338.4693871641606,337.51034842544584,326.2602447513192,266.3109925530733,227.0354326335666,198.11111111111111,193.17929349033548,192.4872193820849,185.41574032903515,230.33333333333334,268.44444444444446,299.77777777777777,299.44444444444446,294.20918083805714,276.0688506385341,242.1040925266904,212,193.92056800532504,168.61046317894036,169.38798178384982,180.6064645118294
Threads Created,0,0,0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0,0,0,0,0,0,0,0,2.540837438423645,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.8266502463054188,4.430769230769231,8.03892239119035,12.92452700378397,17.117655890621005,21.22223263393767,24.500745784695198,23.85106517197874,23.353462912609082,22.341978219378014,20.11781705012782,16.88326113517716,12.333333333333334,9.442346145301043,7.334963325183374,5.780346820809249,8.222222222222223,10.777777777777779,12.666666666666668,12.666666666666668,12.670890296765588,12.65963353692393,11.232206405693951,9,7.100066563124029,5.77585249361324,5.220482061535043,5.331556147950683
Created Tmp Disk Tables,9.11111111111111,8.88888888888889,9,9.222222222222223,8.88888888888889,9.222222222222223,8.88888888888889,9,9,9,9.222222222222223,9,7.652025,6.968685714285714,5.849433333333333,5.059800000000001,4.27535,3.139066666666667,2.2287,1.2975999999999999,2.078866995073892,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.4945320197044336,2.4615384615384617,3.0787362349239644,4.11234950120399,4.852248913876821,5.880859645548992,6.525324254215304,7.550839727812365,8.56684820412293,9.206242281351745,9.003001000333445,8.885926913251138,9,9.109086869584536,8.890864636585908,9.004001778568252,9.11111111111111,8.88888888888889,9,8.777777777777779,9.225297321329332,8.995002776235424,8.7855871886121,9,9.207898824051476,8.774852826835499,8.885926913251138,8.997000999666778
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0,2.888888888888889,4.222222222222222,6,8.444444444444445,10.666666666666668,10.666666666666668,11.333333333333334,13.555555555555557,15.88888888888889,12.609675,11.432999999999998,9.822633333333332,7.53348,5.4308499999999995,5.6744666666666665,5.3751,3.4061999999999997,4.157733990147784,3.6,3.6,3.6,3.6,3.6,3.6,3.6,2.9890640394088672,0.7384615384615385,0.8552045097011012,1.3218266253869968,1.7522009966777408,2.42905072316154,2.7086251621271074,2.7566557736457837,2.6991439547236626,2.582238688671831,2.222963209958875,1.9993335554815062,1.5555555555555558,1.3330371028660297,1.0002222716159146,1.0004446420631392,1.1111111111111112,1.2222222222222223,1.3333333333333335,1.3333333333333335,1.333777925975325,1.3325930038867295,1.112099644128114,1,0.7765697803416908,0.8885926913251139,1.2218149505720315,1.44396312340331
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.555555555555554,28.77777777777778,29.555555555555554,30.444444444444446,28.555555555555554,30,29,28.666666666666668,28.666666666666668,29.111111111111114,29.666666666666668,29,24.249375,22.757114285714284,18.651966666666663,16.52868,14.097100000000001,10.1416,6.8172,4.5416,6.467586206896551,5.6,5.6,5.6,5.6,5.6,5.6,5.6,4.649655172413793,9.353846153846154,9.578290508652334,13.07139662882697,16.57851712241247,19.43240578529232,21.422762645914396,24.809901962812056,28.869104907044395,30.42550802739418,28.00933644548183,28.76818838165056,29.666666666666668,29.215729837813818,29.006445876861523,29.124055135615826,29,28,29.444444444444446,29.333333333333336,29.454262531955095,28.20655191560244,28.247330960854093,28.22222222222222,28.84402041269137,28.101743863156724,28.101743863156724,27.768521603909807
Sort Rows,82.22222222222223,65.77777777777779,74,82.22222222222223,74,82.22222222222223,65.77777777777779,74,74,74,82.22222222222223,65.77777777777779,55.82745,56.40279999999999,40.83566666666666,41.6028,34.2028,17.868533333333335,9.7014,0,17.092906403940887,14.8,14.8,14.8,14.8,14.8,14.8,14.8,12.288374384236453,36.43076923076923,37.971080230728894,43.4734090127279,49.87033605928954,56.763080057038096,54.664980544747074,62.08468220645722,78.15782060199824,83.08072302683283,74.02467489163055,65.75585915805843,74,73.98355920906465,65.79239831073572,74.0329035126723,82.22222222222223,74,74,65.77777777777779,82.24963876847838,73.95891171571348,65.83629893238434,82.22222222222223,82.09451963612159,65.75585915805843,65.75585915805843,73.97534155281572
