Avg Threads Running,1,1,1.6,2.2,2.5,3.0999999999999996,3.8000000000000003,4.5,5.2,5.5,5.8,6.199999999999999,6.3,6.2,6.6000000000000005,6.8999999999999995,6.777777777777778,7.777777777777778,7.75,8.285714285714286,9,9.8,10.25,11.666666666666668,13.5,17,17,16,15,13,13,13,13,13,13,13,13,11.5,9,33,33,33,33,33,25,25,25,25,25,17,17,17,17,38,59,59,59,43.5,43.5,36.666666666666664,32,32,30,22.75,21.6,20.5,20.142857142857142,18.833333333333332,18.833333333333332,19.333333333333332,18.666666666666668,19.857142857142858,19.42857142857143,20.375,20.75,21.75,23.5,23.666666666666668,25.900000000000002,27.4,29.9,30.8,31.6,32.400000000000006,33.2,34.1,34.300000000000004,36.099999999999994,35.9,35.800000000000004,35.4,34.099999999999994,34.199999999999996,32.7,31.599999999999998,31.555555555555557,30,27.444444444444443,24.000000000000004,21.222222222222225,18.66666666666667,18.11111111111111,16.875,16.875,18,18.444444444444443,18.22222222222222,19.88888888888889,20,20.625
Peak Threads Connected,1,1,7,7,7,7,8,8,8,8,8,8,8,8,8,10,10,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,14,9,33,33,33,33,33,33,33,33,33,33,17,17,17,17,59,59,59,59,59,59,59,59,59,59,28,28,28,28,23,23,26,26,27,27,27,27,27,32,32,46,46,46,46,46,46,46,46,46,46,44,44,44,44,44,44,44,44,44,44,40,35,28,28,20,20,26,26,26,35,35,35
Peak Threads Running,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,4,10,10,10,10,10,10,10,10,10,10,9,9,9,9,36,36,36,36,36,36,36,36,36,36,4,5,5,5,5,5,8,8,8,8,9,9,9,22,22,23,23,23,23,23,23,23,23,23,23,19,19,18,18,18,18,18,18,18,18,15,15,7,7,7,7,7,7,7,13,13,13
Questions,39.66666666666667,38,46.333333333333336,156.33333333333334,299.11111111111114,432.7777777777778,573.4444444444445,713,813,915.8888888888889,1050.7777777777778,1213.5555555555557,1242,1225.888888888889,1222.2222222222222,1225.7777777777778,1048.4352,1255.904202239716,1124.2402668661928,1002.2007586550792,843.0025336434622,717.9724770870691,604.8554574106328,498.22758363696585,393.8515106488361,201.32561475409835,314.8068825910931,278.69999999999993,278.69999999999993,278.69999999999993,278.69999999999993,278.69999999999993,278.69999999999993,245.97813765182187,165.2818,1115.7157157157158,1115.7157157157158,1115.7157157157158,1115.7157157157158,1115.7157157157158,1161.985122682358,602.4096935138989,866.7141838916607,823.9339752407153,871.9839142091153,871.9839142091153,870.4140742329973,654.1486081230848,760.0743047830924,879.9287713050114,854.4776119402984,697.6800000000001,701.788202764977,832.5391422736554,837.0538529448861,827.6826675618216,743.0876794570606,807.4953445065175,796.4502359020445,862.0959624203111,743.2748519202598,778.6752516560592,879.5439151049899,864.9764827348857,877.4667278568152,819.1976757179574,852.1981079577074,826.9615470104467,804.8537234042553,752.396878483835,779.4635004397537,719.9066355451816,709.1229616571176,697.2416085078098,717.9944289693593,724.8410436307828,766.7632228301685,767.0204781816232,786.662384928281,718.7717908682998,847.0814214064667,849.634886351949,849.3047321332327,895.8652373660032,893.2779710470206,866.103050382726,737.9838311688311,866.3926002055498,764.8485230024214,893.8063458611402,908.1276339554486,923.0063109581182,954.9728952317735,840.3572479377923
Threads Created,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.21555,1.1087703736556158,1.0866424384942903,1.100714726694211,1.1202691476989532,1.1493076310021917,0.9576179812557021,1.032328585624379,1.2483407627538385,0,0,0,0,0,0,0,0,0,0,2.6026026026026026,2.6026026026026026,2.6026026026026026,2.6026026026026026,2.6026026026026026,6.772510269790163,1.321073889284866,1.900688999762414,2.1396912731163074,1.876675603217158,1.876675603217158,2.145462347135808,1.7576765108546841,1.424249165739711,1.5263291783261255,1.4699231117141565,0.8400000000000001,0.8449462365591398,1.2480145223508055,0.7567158531971245,1.5665212039834397,1.6597363612633775,1.8621973929236497,1.797348910357223,2.0131976289005706,2.034402267371505,2.1166044291466424,3.8383382253330334,4.129861190776643,3.4419458467186788,3.5758185272097442,3.33889816360601,3.3340742387197153,3.102836879432624,3.0100334448160533,3.408091468777484,2.778704012448594,2.4239753195240192,2.215575495735017,2.2284122562674096,2.1925016443762333,2.252977148374638,2.1443122118580464,1.926782273603083,1.4164064394858114,1.7073951552662467,2.468373958654736,2.587043225180554,2.406475607088165,2.468858713949052,2.627670512966983,2.6133376623376625,3.654219481557611,2.319128329297821,2.3416461772626156,1.4449127031908489,2.868617326448652,2.8764243832282332,2.8383071507381916
Created Tmp Disk Tables,9.222222222222223,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,8.88888888888889,9,8.88888888888889,8.88888888888889,9.222222222222223,8.88888888888889,9.11111111111111,8.88888888888889,9.222222222222223,7.975350000000001,9.202794101341611,7.932489801008319,7.044574250842951,6.049453397574347,5.401745865710301,4.309280915650659,3.613150049685326,2.8087667161961365,2.3995901639344264,2.8803643724696357,2.55,2.55,2.55,2.55,2.55,2.55,2.2506072874493928,1.1354,9.40940940940941,9.40940940940941,9.40940940940941,9.40940940940941,9.40940940940941,8.993005440213167,4.6237586124970305,6.652411499168449,6.87757909215956,7.238605898123325,7.238605898123325,7.938210684402489,6.737759958276288,7.595995550611792,9.157975069956754,9.045680687471732,7.56,7.604516129032258,9.303380984796913,8.82835162063312,9.06344410876133,8.417234403549987,9.310986964618248,8.986744551786115,9.283077955485965,7.658926183045665,8.348828581633978,9.257168661097314,9.521624412068373,9.293253786140433,8.93954631802436,9.126321647189762,9.002000444543231,8.754432624113475,9.03010033444816,9.124890061565523,9.003001000333445,8.704275011018069,8.973080757726818,9.025069637883009,8.879631659723746,8.904623967385474,8.791680068617989,8.563476771569258,7.735758246422509,8.643687973535375,8.433611025403682,8.515683949552658,8.860205644279151,9.089888901357872,9.139723523363418,8.180883116883118,9.135548703894028,8.232905569007265,9.483667017913593,9.753160746538232,9.294320137693633,9.07179997787366,7.750761834708139
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,0.33333333333333337,2.2222222222222223,5,8.333333333333334,10.88888888888889,12.222222222222223,12.333333333333334,12.444444444444446,18,20,20.555555555555557,19.11111111111111,21.444444444444446,21.444444444444446,19.507275,25.16908748198248,24.55811910997096,19.372579189818115,17.364171789333774,15.28579149232915,14.483971966492494,9.032875124213316,7.334001981178801,3.5993852459016393,5.930161943319838,5.249999999999999,5.249999999999999,5.249999999999999,5.249999999999999,5.249999999999999,5.249999999999999,4.633603238866397,3.2439999999999998,14.814814814814815,14.814814814814815,14.814814814814815,14.814814814814815,14.814814814814815,23.648273565004995,9.742919933475886,14.017581373247802,12.379642365887207,12.734584450402144,12.734584450402144,13.087320317528429,9.227801681987092,13.530367074527254,15.517679979648943,14.473089099954771,12.719999999999999,12.794900153609833,13.955071477195371,13.116408122083493,12.867852747006827,8.891444792482378,8.729050279329607,7.526398562120872,8.500167766469076,7.299914018215399,7.643293771918431,8.241137954391512,7.800848915911438,7.457549334557138,6.481171080567661,7.5681691708402905,8.224049788841965,7.535460992907801,5.908584169453734,6.156552330694811,5.890852506391019,6.28029969149405,6.425168937631549,6.90807799442897,6.906380179785136,7.4026392018023826,7.39787713091026,8.028259473346179,7.408895221925784,9.710809945576779,10.07919366450684,10.348172900722217,10.172828702690879,9.538772303894063,9.59670969953159,8.521753246753246,11.30524152106886,9.740338983050849,12.1765601217656,12.763395544852498,12.966150315547907,14.714017037282886,14.19153575369096
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,30.22222222222222,28.666666666666668,28.555555555555554,29.555555555555554,28.333333333333336,29.555555555555554,29.333333333333336,28,29.111111111111114,28.666666666666668,29,30.555555555555554,28.444444444444446,30.333333333333336,28.77777777777778,30.333333333333336,26.835975,30.269431200798312,25.644761548465247,23.445223678586693,19.268629340421995,18.04412980673441,13.40665173757983,12.387943027492547,8.42630014858841,9.598360655737705,9.149392712550608,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998,7.148987854251011,2.2708,28.628628628628633,28.628628628628633,28.628628628628633,28.628628628628633,28.628628628628633,29.754635283668257,15.522618199097172,22.333095747208365,22.61959345865811,23.592493297587133,23.592493297587133,27.14009869126797,23.289213768824563,24.924360400444943,29.89061307555329,28.946178199909543,24.24,24.38273425499232,30.065804402087586,26.863412788497925,28.533064786841226,27.62275515531193,29.213221601489757,28.308245338126262,30.309808746225258,25.848875867779117,26.692733634238216,30.255136599683908,30.859240564414364,29.371271225332727,27.712593585875517,29.60489705063996,29.117581684818852,27.81471631205674,28.205128205128204,30.452946350043977,29.454262531955095,27.875716174526218,29.134817768915475,28.969359331476323,28.612146459109844,28.859564424417982,28.84099924949073,27.51016912866624,24.187863812757705,27.958595667484794,27.76920703486578,27.056160396679964,29.4246335593962,30.075187969924816,29.589854906889066,26.133376623376627,29.233755852460888,25.162542372881358,30.32431799555087,31.186032510535824,29.833620195065983,29.096138953424052,24.78060473913729
Sort Rows,51.111111111111114,51.111111111111114,46,46,46,46,46,46,46,40.88888888888889,46,51.111111111111114,46,46,40.88888888888889,51.111111111111114,44.618849999999995,51.00343718815833,44.98699695366362,35.443014199553595,30.919428476491113,31.720890615660487,22.02521356888115,23.743557469360717,14.355918771669144,22.076229508196725,15.587854251012146,13.799999999999997,13.799999999999997,13.799999999999997,13.799999999999997,13.799999999999997,13.799999999999997,12.179757085020242,0,55.25525525525526,55.25525525525526,55.25525525525526,55.25525525525526,55.25525525525526,45.964250027756194,22.788524590163938,32.786885245901644,35.15207091548219,36.997319034852545,36.997319034852545,44.41107058571122,40.42655974965773,43.676974416017806,52.658356652251335,46.81139755766621,38.64,38.86752688172043,46.97072838665759,40.61041745491235,46.324269889224574,38.17393630905768,42.83054003724394,41.33902493821613,51.44838384968125,44.03882555251257,43.272801662553576,51.930458342741034,52.770448548812666,47.49885268471777,46.26215219577607,51.19643850862549,46.01022449433207,40.780141843971634,46.15384615384615,50.5716798592788,46.01533844614872,40.54649625385632,45.86241276171485,46.128133704735376,45.38478403858803,49.350928012015885,44.38726278546156,39.391993149218585,35.08329796264856,44.17884964251414,42.5794507867942,39.667996119435166,45.28549551520455,46.45943216249579,42.042728207471725,41.8134025974026,47.276464542651595,37.33796610169492,48.47207586933614,49.849488260084286,47.50430292598968,45.80152671755725,35.15134240529606
