Avg Threads Running,1,1,1.8,2.9,4,4.300000000000001,4.9,5.4,6.4,7.4,8.11111111111111,9,10.25,10,9.666666666666668,10.8,11.75,13.666666666666666,15,20,20,20,21,23.5,23.5,23.5,23.5,23.5,22.666666666666668,23.5,23.5,23.5,23.5,29.5,29.5,24.333333333333332,26.5,26.5,32,32,32,32,32,30,30,38,43,43,18,18,18,18,18,18,18,18,18,18,315,311.5,308.6666666666667,306.5,304.8,303.6666666666667,302.7142857142857,301.375,300.1111111111111,300.1111111111111,298.24999999999994,296.8571428571429,295.8333333333333,295,294.25,293
Peak Threads Connected,1,1,9,12,12,12,12,12,12,12,12,12,19,19,19,19,19,19,19,21,21,21,21,26,26,26,26,26,26,26,26,26,26,38,38,38,38,38,43,43,43,43,43,43,43,43,43,43,18,18,18,18,18,18,18,18,18,18,315,315,315,315,315,315,315,315,315,315,308,303,300,298,298,297
Peak Threads Running,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,10,10,10,10,10,18,18,18,18,18,22,22,22,22,22,22,22,22,22,22,7,7,7,7,7,7,7,7,7,7,45,60,62,62,62,62,67,134,143,143,143,143,143,143,143,143
Questions,38.111111111111114,37,118.55555555555557,264.11111111111114,419.44444444444446,553.2222222222223,701.6666666666667,844.8888888888889,990,1106.888888888889,1069.2357749999999,997.6109142857142,1264.337215751525,1094.92956227906,974.4769565217391,841.0955610972569,717.5736955799268,598.8365566625156,553.0266998341625,1181.209010550328,1181.209010550328,1181.209010550328,787.3937797842989,1150.7399046902433,1150.7399046902433,1150.7399046902433,820.6501630298469,1141.8558077436583,1134.7730453909217,1134.7730453909217,1134.7730453909217,1134.7730453909217,1168.3306709265175,1168.3306709265175,1139.2061679040548,1133.2832268570712,1133.2832268570712,743.5025525525526,740.6666666666666,740.6666666666666,775.6425925925926,664.4313813813815,558.9872374124708,444.71581360453484,368.0974257425743,139.2665452653486,116.8038755736869,119.10351232691657,117.42885634940674,120.16386010884904,130.20002516356317,174.3647177129723,180.49201968973748,166.63116050119334,104.74805714285712,93.92203333333332,81.519,77.07185,72.19853333333333,63.0591
Threads Created,0,0,0,0.11111111111111112,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.2222222222222223,1.185525,1.197742857142857,1.7748197448696614,1.2084102724059056,1.2291304347826086,1.259810889443059,1.310093054170821,1.4084246575342467,0.924278606965174,4.277159965782721,4.277159965782721,4.277159965782721,1.3729621269124654,2.0065211938801104,2.0065211938801104,2.0065211938801104,1.4309505894156005,2.5589675122385405,2.9994001199760048,2.9994001199760048,2.9994001199760048,2.9994001199760048,2.9952076677316297,2.9952076677316297,2.141633352370074,3.2569209570336968,3.2569209570336968,3.6137837837837834,3.6,3.6,3.7700000000000005,3.22945945945946,4.404043014338113,3.5037429143047683,2.4966336633663366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,9,8.777777777777779,9.11111111111111,9.222222222222223,9,9.11111111111111,9,9,8.88888888888889,9.222222222222223,7.975350000000001,6.968685714285714,8.874098724348308,8.019449989602828,6.927826086956522,6.069997921862012,5.478570953805251,4.609389788293898,4.005207296849088,8.982035928143713,8.982035928143713,8.982035928143713,6.349949836970152,9.28016052169551,9.28016052169551,9.28016052169551,6.618146476047153,9.123275478415666,8.998200359928013,8.998200359928013,8.998200359928013,8.998200359928013,8.985623003194888,8.985623003194888,8.709308966304969,8.768633345859952,8.768633345859952,6.0229729729729735,6,6,6.283333333333333,5.382432432432433,4.730268422807603,3.763279426475491,3.120792079207921,2.4136316337148807,3.22568842427333,4.243245525160418,4.84798030800303,5.8741100584559565,6.768432310015098,7.664383196174606,8.561349861826404,7.90388220700917,6.8598,5.9597999999999995,4.947360000000001,4.27535,3.2598,2.3598
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.3333333333333335,3.555555555555556,5.222222222222222,6.555555555555555,10.555555555555555,11.777777777777779,11.88888888888889,14,13.57965,12.412971428571428,20.077648363838044,18.236009565398213,17.207826086956523,13.514334995843726,12.743632436025257,13.572092154420924,13.402039800995023,22.668947818648416,22.668947818648416,22.668947818648416,15.102583396037122,22.07173313268121,22.07173313268121,22.07173313268121,15.740456483571606,20.582999554962175,19.396120775844828,19.396120775844828,19.396120775844828,19.396120775844828,19.16932907348243,19.16932907348243,16.99029126213592,18.53939621696104,18.53939621696104,11.242882882882883,11.2,11.2,11.72888888888889,10.047207207207208,9.94987495831944,7.915863621207069,4.993267326732673,0.24136316337148805,0.1697730749617542,0.14631881121242823,0.13466611966675085,0.12769804474904253,0.12306240563663814,0.11975598744022822,0.1172787652304987,0.10827235900012562,0,0,0,0,0,0
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,28.888888888888893,28.111111111111114,29.555555555555554,30.22222222222222,29.22222222222222,29.22222222222222,29.888888888888893,29.111111111111114,29.888888888888893,30.555555555555554,26.2971,23.19265714285714,27.620632279534107,25.816037637762527,22.459565217391305,18.897163341645886,17.745805915586573,13.95620797011208,11.861575456053068,29.940119760479043,29.940119760479043,29.940119760479043,20.422811637822925,29.847002758966642,29.847002758966642,29.847002758966642,21.285390017557056,28.148642634623947,26.79464107178564,26.79464107178564,26.79464107178564,26.79464107178564,31.349840255591054,31.349840255591054,28.555111364934323,29.31228861330327,29.31228861330327,18.202762762762763,18.133333333333333,18.133333333333333,18.98962962962963,16.266906906906907,15.169481493831276,12.068447815938645,9.206336633663366,9.171800208116547,9.846838347781745,13.607649442755825,15.486603761676346,18.388518443862125,21.658983392048317,24.43022143780656,27.0913947682452,25.01091492902902,21.014942857142856,19.09343333333333,15.516720000000001,13.4038,10.5038,7.210499999999999
Sort Rows,46,40.88888888888889,46,51.111111111111114,46,46,46,46,46,51.111111111111114,44.618849999999995,40.069942857142856,45.92346089850249,45.4801684341859,35.980000000000004,31.609800498753117,32.8714257228315,23.559103362391035,21.258407960199005,39.34987168520102,39.34987168520102,39.34987168520102,39.47266114873339,57.68748432405317,57.68748432405317,57.68748432405317,41.13982944569852,51.17935024477081,45.99080183963207,45.99080183963207,45.99080183963207,45.99080183963207,45.926517571884986,45.926517571884986,39.40605368360936,40.335713390955775,40.335713390955775,30.784084084084082,30.666666666666664,30.666666666666664,32.114814814814814,27.510210210210214,30.012737579193065,23.87735911970657,21.533465346534655,11.10270551508845,15.619122896481386,26.92266126308679,24.778566018682152,35.24466035073574,39.626094614997484,38.56142795575349,48.55340880542646,44.82475662605201,40.069942857142856,35.538066666666666,25.861200000000004,26.5765,16.6612,12.0612
