Avg Threads Running,1,1,2.0999999999999996,2.5,3.3,3.9,4.8,5.5,6,6.555555555555555,7.249999999999999,8.142857142857142,7.5,8,9.399999999999999,10,10,11,20.5,20.5,20.5,20.5,20.5,20.5,25,25,25,25,39,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,22,21,16,16,16,16,16,16,16,16,16,11,316,305.5,299.6666666666667,296.25,293.8,289.5,286.14285714285717,283.625,281.6666666666667,280.20000000000005,276.2222222222222,273.875,271.8571428571429,269.5,266.6
Peak Threads Connected,1,1,12,12,12,12,12,12,12,12,12,12,10,10,16,16,16,16,25,25,25,25,25,25,25,25,25,25,39,39,39,39,39,39,39,39,39,39,22,21,21,21,21,21,21,21,21,21,21,11,316,316,316,316,316,316,316,316,316,316,295,288,286,284,268
Peak Threads Running,1,1,3,3,3,3,3,3,3,3,3,3,1,1,5,5,5,5,5,5,5,5,5,5,3,3,3,3,17,17,17,17,17,17,17,17,17,17,2,3,3,3,3,3,3,3,3,3,3,2,26,32,39,45,53,69,114,118,118,123,123,123,123,123,123
Questions,38.55555555555556,37.22222222222222,110,243.11111111111114,385.22222222222223,525.5555555555555,670.3333333333334,828.6666666666667,945.5555555555557,912.6387000000001,918.4509999999998,853.7965333333332,731.0848800000001,598.89565,1200.8428523899302,1183.7345640513909,1143.6511329628047,1152.7339205584178,798.3886943471734,1163.831915957979,1163.831915957979,1163.831915957979,830.510455227614,714.127263631816,219.4913757700205,182.8,182.8,182.8,182.8,182.8,182.8,182.8,150.988295687885,205.97043832823647,172,172,172,172,172,172,172,141.36085626911313,195.2651057401813,170.06851480180632,169.50806882726363,165.82429564237412,192.52518926497095,216.82036681684184,217.73115258115257,217.587439009133,243.4115423106861,147.65175,128.8118,113.45693333333331,107.49264000000001,78.574
Threads Created,0,0,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.888888888888889,0.888888888888889,0.8622,0.8710857142857142,0.7725666666666666,0.67464,0.6933,1.8853277143174005,2.1204939503554945,1.5676214906655266,1.8281535648994514,2.2306153076538267,3.251625812906453,3.251625812906453,3.251625812906453,2.320360180090045,1.9951975987994,0,0,0,0,0,0,0,0,0,0.2395005096839959,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16437308868501527,0,0,0,0,0,0,0,0,1.3343711775825642,1.2933,1.3066285714285713,1.3244,1.34928,1.3866
Created Tmp Disk Tables,9.11111111111111,8.777777777777779,9,9.11111111111111,8.777777777777779,9,9.222222222222223,9.11111111111111,9,7.652025,6.8598,5.739066666666666,4.83492,4.1598,9.204835311079073,8.980915554446801,9.120706854781245,9.30696360312448,5.8339169584792385,8.504252126063031,8.504252126063031,8.504252126063031,6.06863431715858,5.218209104552277,1.6810061601642707,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.1563655030800821,2.155504587155963,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.4793577981651373,2.145770392749245,2.704867034621174,3.796046330326317,4.572608314550463,5.613723212497495,6.641122976806274,7.54099099099099,8.323657418991617,8.895807850550428,7.652025,6.968685714285714,5.9597999999999995,5.17224,4.1598
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.3333333333333335,1.5555555555555558,2.888888888888889,4.777777777777778,5.777777777777778,10.222222222222223,12.333333333333334,11.963025,12.086314285714284,10.9263,10.90668,9.82175,20.40589996672951,21.82861419483597,19.23899102180419,19.278710320757853,12.868934467233615,18.75937968984492,18.75937968984492,18.75937968984492,13.386693346673336,11.510755377688845,1.6810061601642707,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.1563655030800821,5.508511722731906,4.6,4.6,4.6,4.6,4.6,4.6,4.6,3.7805810397553516,7.390986908358511,6.931221776216757,6.2780766232319865,5.7830046331079386,5.486138594031644,5.28830162967907,5.147025597025596,5.041088296009008,5.226287112198376,1.7244,0.6533142857142856,0.4414666666666666,0.44976000000000005,0.4622
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.555555555555554,28.444444444444446,29,28.666666666666668,28.111111111111114,28.444444444444446,30.22222222222222,30.111111111111114,29.444444444444446,25.111575,22.757114285714284,18.76233333333333,16.303800000000003,13.634899999999998,30.387046689586338,29.063240613695893,28.929742055009264,29.915240152900118,17.673336668334166,25.762881440720356,25.762881440720356,25.762881440720356,18.38439219609805,15.808104052026014,6.2437371663244345,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.295071868583162,6.9455147808358815,5.8,5.8,5.8,5.8,5.8,5.8,5.8,4.766819571865443,6.198892245720041,7.438384345208229,11.680142554850207,13.717824943651388,16.841169637492488,21.399174036375772,23.819955669955668,26.02608376079069,28.46658512176137,24.788249999999998,23.083771428571428,19.424533333333333,17.31576,14.328199999999999
Sort Rows,51.111111111111114,40.88888888888889,46,51.111111111111114,40.88888888888889,46,51.111111111111114,51.111111111111114,46,34.70355,35.0612,25.38433333333333,20.68896,21.2612,51.01474991682378,45.90245727828365,45.88855636311814,53.51504071796576,23.678839419709853,34.517258629314654,34.517258629314654,34.517258629314654,24.63151575787894,21.179789894947476,0,0,0,0,0,0,0,0,0,11.017023445463812,9.2,9.2,9.2,9.2,9.2,9.2,9.2,7.561162079510703,10.96727089627392,7.776492724535875,13.43216393807774,18.55941021788129,29.344462247146005,33.943517437009845,38.54284284284284,37.74954491430001,40.92071611253196,34.70355,35.0612,30.461199999999998,25.861200000000004,15.9459
