Avg Threads Running,1,1,1.6,2,2.3000000000000003,3.1,4.3,4.666666666666666,5.666666666666667,6.25,7,8.428571428571429,9.142857142857142,9.285714285714286,10.166666666666666,11.833333333333334,11.6,13.333333333333332,14,14,14,14.75,15.666666666666666,20.5,20,16.666666666666668,16,14,14,14,14,14,14,14,11.5,14,53,53,41,36.66666666666667,36.66666666666667,29.500000000000004,29.500000000000004,29.500000000000004,29.500000000000004,29.500000000000004,21.666666666666664,21.666666666666664,18,8,8,306,304.5,303.6666666666667,303,302,300.6666666666667,299.8571428571429,299.125,298.55555555555554,298,296.7,295.7,294.8,294,293.49999999999994,293.40000000000003,293.2,293.09999999999997,293,293,293,293,293,292.6,269.4,266.77777777777777,263.5,259.2857142857143,253.66666666666666,245.8,233.99999999999997,214.33333333333331,175
Peak Threads Connected,1,1,7,7,7,9,13,13,13,13,13,13,13,13,13,19,19,22,22,22,22,22,22,22,22,22,22,19,19,19,19,19,19,19,14,14,53,53,53,53,53,53,53,53,53,53,29,29,28,8,8,306,306,306,306,306,306,306,306,306,306,303,302,301,298,295,295,294,294,293,293,293,293,293,293,293,293,293,293,293,293,293,293,289
Peak Threads Running,1,1,1,1,1,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,4,4,6,6,6,6,6,6,6,6,6,6,2,2,24,24,24,24,24,24,24,24,24,24,12,12,12,1,1,76,107,119,134,137,137,152,152,152,152,152,152,152,152,152,152,152,151,151,151,117,91,74,68,56,41,39,39,39,39,39,39,39
Questions,40,38.111111111111114,169.33333333333334,316.44444444444446,433.55555555555554,612.5555555555555,725,697.73535,1012.0882776976821,987.3267681177498,996.9218148781529,1240.2482269503546,1224.6666666666667,1229.1643546776163,1052.2186181500438,1193.680709534368,1154.2196201627871,1157.0413149711237,881.875,928.5054089544772,810.8632545439385,698.619843324703,606.29644638404,483.5118690654673,1191.6500111037087,1179.2204536909387,1163.047109923154,306.9,306.9,306.9,306.9,306.9,306.9,271.0898176291793,167.7148,423.8436491935484,505.33013250587044,492.15,718.0207547169811,714.4,714.4,749.2094339622641,641.6622641509433,516.0900100066712,410.4529186124082,325.5627436281859,108.53510204081631,99.0659090909091,100.09888143176734,104.82247487437185,112.57012048192772,128.67432552954293,130.73604584527217,135.54389724310775,136.52561247216036,92.55555555555556,83.55555555555556,77,71.66666666666667,66.11111111111111,50.55555555555556,50.111111111111114,47,43.77777777777778,41.77777777777778,41,39.88888888888889,40,56.88888888888889,135.44444444444446,126.85117499999998,124.23859999999999,121.40333333333334,118.96152,117.1677,118.68086666666667,122.7096,118.5682
Threads Created,0,0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.64665,0.6654097815237885,0.6519877403374971,0.6604318084651559,1.2189716312056738,1.2222222222222223,1.2207302186216848,1.226751966046686,1.5521064301552108,1.9991432243324287,1.776988005330964,1,1.0528764382191096,0.9194764048691011,0.9527716922259841,1.0265336658354116,0.41414292853573215,2.3317788141239175,2.3812507833061787,2.1160485577458514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,9.11111111111111,8.88888888888889,8.88888888888889,9.11111111111111,9.11111111111111,9.222222222222223,9,7.7598,8.761228790063214,7.6065236372708,6.824462020806612,8.976063829787234,9,8.878037953612253,7.918126326301336,8.869179600886918,9.138940454091102,9.218125277654375,7,7.3701350675337665,6.436334834083707,5.359340768771161,4.747718204488779,3.9343578210894554,9.105041083721963,9.023687178844465,8.90967813787727,2.55,2.55,2.55,2.55,2.55,2.55,2.2524569402228978,1.2975999999999999,3.482056451612903,4.1584619255283455,4.05,6.164418573531379,6.133333333333333,6.133333333333333,6.432182523752173,5.508858557473571,4.5628418945963976,3.628885923949299,2.9781859070464765,2.3959183673469386,2.878838383838384,3.7993736017897093,4.844170854271356,5.871004016064257,6.642842809364548,7.422742529676626,8.559432957393483,8.908685968819599,8.88888888888889,9.11111111111111,9.11111111111111,9,9,9,9.222222222222223,8.88888888888889,9,9,9.11111111111111,9.11111111111111,9.11111111111111,9,8.88888888888889,7.54425,6.750914285714285,5.9597999999999995,4.947360000000001,3.9287,3.0183333333333335,2.0976,1.1354
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.777777777777778,2.7777777777777777,4,8.333333333333334,10,9.69975,13.640900521237663,13.36574867691869,13.538852073535697,18.727836879432623,19.88888888888889,19.531683497946958,15.278638122581452,17.738359201773836,18.135084963587033,18.88049755664149,13.5,14.213831915957979,12.412931465732864,10.599585076014074,10.393653366583543,8.904072963518242,18.65423051299134,16.66875548314325,17.03975943869028,4.2,4.2,4.2,4.2,4.2,4.2,3.7099290780141843,3.2439999999999998,5.029637096774193,5.236581683998658,5.1,6.164418573531379,6.133333333333333,6.133333333333333,6.432182523752173,5.508858557473571,3.25917278185457,2.5920613742494996,1.88095952023988,0.23959183673469386,0.16934343434343435,0.1461297539149888,0.13456030150753767,0.1276305220883534,0.12301560758082497,0.11972165370446171,0.11725250626566415,0.11135857461024498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,30.22222222222222,28.888888888888893,27.666666666666668,28.888888888888893,29.22222222222222,30.666666666666668,28.555555555555554,23.7105,27.392702672729293,23.68888789892906,21.353961807040044,28.701241134751776,28.111111111111114,28.964598823659976,25.204176756959182,29.26829268292683,30.415536198771953,30.31985784095957,23.125,24.347767633816908,21.262891862597964,18.221758613821947,15.141371571072321,12.424287856071965,29.313790806129248,28.575009399674144,28.28822808776033,7.5,7.5,7.5,7.5,7.5,7.5,6.624873353596757,4.2172,10.639616935483872,13.091454209996645,12.75,20.503392211963067,20.4,20.4,21.39399839421919,18.32294259333601,15.969946631087392,12.701100733822548,10.658770614692653,10.54204081632653,10.16060606060606,12.713288590604026,16.012675879396987,19.272208835341367,22.51185618729097,24.064052394596803,28.375106516290725,28.953229398663694,28.444444444444446,29.333333333333336,29,29.111111111111114,29.77777777777778,28.111111111111114,29.77777777777778,28.333333333333336,29.666666666666668,28.666666666666668,29.555555555555554,29.555555555555554,29.666666666666668,28.888888888888893,29.333333333333336,24.896025,22.1038,19.09343333333333,15.96648,12.7105,10.383066666666668,6.8172,3.4061999999999997
Sort Rows,51.111111111111114,40.88888888888889,46,51.111111111111114,51.111111111111114,51.111111111111114,46,39.661199999999994,40.81179993345902,34.99000873144568,35.44317372096337,45.87765957446808,46,40.83897458661637,35.91037573336662,40.79822616407982,45.98029415964586,51.088405153265214,40.25,42.37827663831916,37.00892529598132,27.392186151497043,29.512842892768084,28.575862068965517,51.077059737952474,46.12106780298283,46.107584363514874,13.8,13.8,13.8,13.8,13.8,13.8,12.189766970618034,7.4612,17.79717741935484,28.339147936933916,27.6,36.98651144118828,36.8,36.8,38.59309514251304,33.053151344841424,29.98438959306204,23.846964643095397,14.420689655172414,22.042448979591835,15.57959595959596,20.165906040268457,30.948869346733666,35.226024096385544,39.61102564102564,38.55037249283667,48.54253759398496,46.102449888641424,46,46,51.111111111111114,40.88888888888889,46,46,51.111111111111114,40.88888888888889,46,46,51.111111111111114,46,51.111111111111114,46,40.88888888888889,34.70355,35.0612,30.461199999999998,20.68896,15.9459,11.107466666666667,6.0306,0
