Avg Threads Running,1,1,1.6,2.3,2.9000000000000004,3.6,3.9,4.5,4.7,5.1,5.5,5.8,5.800000000000001,5.8,6.2,6.1,6.199999999999999,5.8999999999999995,6.299999999999999,6.6000000000000005,6.5,6.3999999999999995,6,5.8,5.3999999999999995,5.5,5.6,5.6,5.4,5.3,5.5,5.9,6.4,6.3,6.5,6.3,6.1,6.3,6.4,6.499999999999999,6.5,6.200000000000001,6,6.3,6.3,6.199999999999999,6.2,6.3,6.300000000000001,6.199999999999999,6.3,6.3999999999999995,6.3,6.3999999999999995,6.3999999999999995,6.3,6.4,6.199999999999999,6.2,6.3,6.2,6.3999999999999995,6.500000000000001,10.1,11.1,12.700000000000001,15.2,19.5,24.4,31.799999999999997,42.699999999999996,57.5,75.6,92.9,116.2,142.2,169.29999999999998,194.6,219.30000000000004,241.2,259.8,274.2,285,292.7,297.3,299.2,298.9,298,297.9,297.9,297.9,298.2,298.8999999999999,298.90000000000003,299.1,299.20000000000005,299.09999999999997,299.3,298.5,297.4,297.40000000000003,297.3,296.8,297,296.62500000000006,296.14285714285717,296,296.4,297.25,299.6666666666667,299,154.5,9,9.666666666666666,9.5,8.6,7.833333333333333,8.142857142857142,8.375,8.333333333333334,8.333333333333334
Peak Threads Connected,1,1,7,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,45,45,45,45,48,55,82,115,155,187,218,252,280,301,301,302,302,302,302,302,302,302,302,302,302,301,301,301,302,302,302,302,302,302,302,302,302,302,302,301,301,301,301,301,301,301,301,301,297,12,12,12,12,12,12,12,12,12
Peak Threads Running,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,16,17,27,45,54,80,114,151,186,217,250,274,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,299,299,299,299,299,299,299,299,299,251,2,2,2,2,2,2,2,2,2
Questions,38.44444444444444,37,128.44444444444446,247,390.11111111111114,508.33333333333337,635.8888888888889,749.6666666666667,871.6666666666667,947.7777777777777,1092.3333333333335,1145,1158,1135.3333333333335,1121.7777777777778,1112.7777777777778,1147.4444444444446,1140,1159.6666666666667,1111.111111111111,1083.111111111111,1055.6666666666667,1026.888888888889,1053.3333333333335,1062.3333333333335,1055.5555555555557,1112.5555555555557,1146.5555555555557,1167.4444444444446,1132.5555555555557,1159.6666666666667,1190.4444444444446,1185.2222222222222,1166.3333333333335,1140.3333333333335,1089.5555555555557,1107.2222222222222,1107.111111111111,1123.5555555555557,1094.2222222222222,1089.4444444444446,1089.888888888889,1124,1155.4444444444446,1124.2222222222222,1113.6666666666667,1108.7777777777778,1126.888888888889,1176.6666666666667,1179,1172.3333333333335,1159.888888888889,1171.888888888889,1218.888888888889,1216.888888888889,1219.4444444444446,1210.7777777777778,1160.5555555555557,1141.7777777777778,1133.6666666666667,1146.6666666666667,1116,1134.2222222222222,1045.3333333333335,1054.2222222222222,1055,1025.5555555555557,999.1111111111111,943.3333333333334,867.3333333333334,781.4444444444445,674.6666666666667,664.4444444444445,573.8888888888889,505.6666666666667,474.55555555555554,431.55555555555554,383.11111111111114,326,311.33333333333337,278.44444444444446,281.55555555555554,298.6666666666667,303.6666666666667,311.77777777777777,314.44444444444446,349.22222222222223,380.22222222222223,385.33333333333337,385,366,339,321.77777777777777,308.44444444444446,317.44444444444446,315.6666666666667,309.11111111111114,307.8888888888889,325.55555555555554,358.77777777777777,370.22222222222223,361.11111111111114,403.11111111111114,343.80225,303.13782857142854,269.95686666666666,238.14792000000003,206.48784999999998,153.935,121.5297,119.70359999999998,1306.3372479503657,221.1723819301848,328.10982776089156,443.39182918628114,583.3286990437846,694.8086891837555,800.8045725923446,909.6076180916874,1022.8658280035113,943.0089180461498
Threads Created,0,0,0.888888888888889,0.888888888888889,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,2,1.1111111111111112,1.1111111111111112,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7777777777777777,3.7777777777777777,3.7777777777777777,3.8888888888888893,5.888888888888889,6.666666666666667,9.777777777777779,13.333333333333334,17.77777777777778,17.555555555555557,21,24.77777777777778,27.77777777777778,28.22222222222222,27.555555555555554,24.444444444444446,21.77777777777778,17.555555555555557,15.444444444444446,13.88888888888889,12.11111111111111,11.444444444444445,11.222222222222223,13.11111111111111,15.333333333333334,16,15.88888888888889,14.666666666666668,13.555555555555557,12.222222222222223,11.333333333333334,11.555555555555555,11.222222222222223,10.555555555555555,10.666666666666668,12.333333333333334,14.666666666666668,15.444444444444446,15.11111111111111,14,11.2086,9.690828571428572,8.2775,6.7463999999999995,5.0842,2.5354,0.9177,0.6487999999999999,2.1050299135829826,0,0,0,0,0,0,0,0,0
Created Tmp Disk Tables,9.11111111111111,8.777777777777779,9.222222222222223,9,8.777777777777779,9,8.88888888888889,9,9,9.11111111111111,9.11111111111111,9,9,9.222222222222223,9,8.88888888888889,9,9.11111111111111,8.777777777777779,9,8.88888888888889,8.777777777777779,8.88888888888889,8.777777777777779,9.222222222222223,9,8.777777777777779,9.11111111111111,9.11111111111111,8.88888888888889,9.11111111111111,8.88888888888889,9.222222222222223,9,8.88888888888889,9.222222222222223,9,9,9.11111111111111,8.88888888888889,9.11111111111111,9,8.88888888888889,9.11111111111111,9,9.11111111111111,9,9,9.11111111111111,9.11111111111111,9,8.88888888888889,9,8.777777777777779,9,8.88888888888889,9.11111111111111,9,9,8.777777777777779,9.11111111111111,9,9.222222222222223,9,9.11111111111111,8.88888888888889,9,8.88888888888889,9,9.11111111111111,8.88888888888889,9,9,9,9.11111111111111,9,9.11111111111111,9.222222222222223,9,9.11111111111111,8.777777777777779,8.88888888888889,8.777777777777779,8.777777777777779,8.88888888888889,8.777777777777779,9,8.777777777777779,8.88888888888889,9.222222222222223,9.11111111111111,9,9.222222222222223,9,9,9,9.222222222222223,9.11111111111111,8.88888888888889,8.88888888888889,9.222222222222223,9,9,7.7598,6.642028571428571,5.739066666666666,4.947360000000001,4.04425,3.139066666666667,2.0976,1.1354,9.195656990915136,1.6810061601642707,2.7116514690982774,3.8009190764402603,4.576182687468545,5.4890269400884595,6.3975783952683845,7.303681019296161,8.442776523702031,7.783634311512415
Created Tmp Files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Full Range Join,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Range,0,0,1.4268222222222222,2.1951111111111112,3.6219333333333337,7.792644444444444,9.329222222222223,11.963355555555555,14.377977777777778,14.487733333333335,16.682844444444445,17.77777777777778,21.444444444444446,20.444444444444446,20,19,17.555555555555557,15.444444444444446,16.444444444444446,14.333333333333334,13.444444444444446,12.666666666666668,13.444444444444446,10.222222222222223,10.88888888888889,11.88888888888889,14.11111111111111,15.222222222222223,16.555555555555557,15.11111111111111,12.444444444444446,12.777777777777779,15.222222222222223,14.555555555555557,14.666666666666668,14.444444444444446,12.333333333333334,11.11111111111111,11.333333333333334,11.222222222222223,9.777777777777779,9.444444444444445,11.222222222222223,14.666666666666668,13.88888888888889,18,19.11111111111111,21,24.444444444444446,27.555555555555554,26.555555555555554,27.333333333333336,25.22222222222222,28,25.333333333333336,25.22222222222222,23.77777777777778,22.666666666666668,19.88888888888889,24.22222222222222,25.555555555555557,21.88888888888889,22.22222222222222,20.88888888888889,20.88888888888889,21.88888888888889,18.666666666666668,19.88888888888889,14.11111111111111,10.222222222222223,10.777777777777779,6.444444444444445,6.333333333333334,5.888888888888889,4.666666666666667,5.111111111111112,3.444444444444444,3.2222222222222223,2.666666666666667,2.111111111111111,1.8888888888888888,2,1.6666666666666667,1.2222222222222223,0.888888888888889,1.3333333333333335,1.6666666666666667,1.8888888888888888,2.111111111111111,2,1.8888888888888888,1.5555555555555558,1.6666666666666667,1.777777777777778,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.6666666666666667,2,2.2222222222222223,2.111111111111111,2.111111111111111,2.7777777777777777,2.5866,2.2865999999999995,2.0969666666666664,1.6865999999999999,1.3866,1.0866,1.1799,1.2975999999999999,27.033015732328828,2.881724845995893,2.2032168186423506,3.5085406859448556,7.806429290387518,8.425018094089264,10.334549715433544,10.416725388176491,12.077860860295962,11.134921306746927
Select Range Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Select Scan,29.333333333333336,28.111111111111114,29.888888888888893,30,28.111111111111114,28.555555555555554,29.22222222222222,28.111111111111114,27.888888888888893,29.444444444444446,29.666666666666668,28.666666666666668,29.111111111111114,29.888888888888893,28.666666666666668,28.22222222222222,29.111111111111114,29.22222222222222,27.888888888888893,28.666666666666668,28.888888888888893,27.555555555555554,28.555555555555554,28.22222222222222,30.333333333333336,30,28.666666666666668,29.77777777777778,29.888888888888893,29,29.444444444444446,28.888888888888893,30.111111111111114,28.555555555555554,27.77777777777778,29.666666666666668,29.555555555555554,28.666666666666668,28.888888888888893,29,28.444444444444446,28.77777777777778,28,30.22222222222222,29.888888888888893,29,28.333333333333336,28.77777777777778,29.333333333333336,30.444444444444446,29.111111111111114,29.22222222222222,28.666666666666668,27.77777777777778,28.555555555555554,29.333333333333336,29.333333333333336,28.333333333333336,28.444444444444446,28,30,29.444444444444446,30.555555555555554,28.444444444444446,28.888888888888893,28.444444444444446,29.444444444444446,29,29,29.444444444444446,27.888888888888893,28.22222222222222,30,28.77777777777778,30.22222222222222,28.888888888888893,29.444444444444446,30.22222222222222,28.77777777777778,29.333333333333336,28,28.444444444444446,28.666666666666668,27.77777777777778,28.888888888888893,27.77777777777778,28.888888888888893,27.444444444444446,28.77777777777778,30.444444444444446,29.22222222222222,28.666666666666668,30.22222222222222,28.888888888888893,29.666666666666668,29.333333333333336,30.77777777777778,29.22222222222222,27.666666666666668,28.444444444444446,31,28.888888888888893,29.22222222222222,24.5727,20.90605714285714,17.879399999999997,16.19136,13.634899999999998,10.5038,5.6373,3.5683999999999996,30.024374030578333,4.082443531827515,7.795997973657547,11.548946424568483,13.728548062405636,17.105339766787292,19.6848566008258,22.629437912245482,27.087241346877352,24.97249341610233
Sort Rows,0,0,4.170711111111111,8.8902,8.8902,18.987711111111114,18.987711111111114,24.03646666666667,34.13397777777778,39.18273333333333,39.18273333333333,45.66666666666667,46,51.111111111111114,46,46,46,46,40.88888888888889,46,40.88888888888889,40.88888888888889,46,40.88888888888889,51.111111111111114,51.111111111111114,40.88888888888889,51.111111111111114,51.111111111111114,46,46,40.88888888888889,51.111111111111114,46,40.88888888888889,51.111111111111114,40.88888888888889,46,51.111111111111114,46,46,46,40.88888888888889,46,46,51.111111111111114,46,46,51.111111111111114,51.111111111111114,46,46,46,40.88888888888889,46,40.88888888888889,46,40.88888888888889,46,40.88888888888889,46,51.111111111111114,51.111111111111114,46,51.111111111111114,40.88888888888889,46,46,46,51.111111111111114,40.88888888888889,46,46,46,51.22222222222223,46.111111111111114,46.333333333333336,51.55555555555556,46.55555555555556,46.55555555555556,41.55555555555556,46.88888888888889,41.77777777777778,41.77777777777778,47,41.77777777777778,47,41.77777777777778,47,52.22222222222223,47,47,52.22222222222223,47,47,47,52.22222222222223,52.22222222222223,41.77777777777778,47,52.22222222222223,47,47,40.523399999999995,30.705771428571428,25.93616666666666,21.13872,21.723399999999998,11.348933333333333,6.1617,0,52.071792599157995,0,7.96547619047619,20.612676529926027,18.977698792148967,23.998536389223965,28.912133132462895,33.764558154778975,44.09005517933283,40.6478680712315
Sort Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Merge Passes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
