Avg Threads Running,1,1,1.3,2,2.4,3.0999999999999996,4.1,4.444444444444445,4.875,5.428571428571429,6.166666666666667,9.5,10.6,11.25,13.333333333333334,16,21,21,21,21,38,55,55,55,55,55,55,55,55,55,43,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,18,60,67.5,82,96.5,111.6,128,145.57142857142856,159.25,169.88888888888889,178.4,198,216.00000000000003,230.39999999999998,241.3,248.6,252.8,251.5,250.99999999999997,251,251,250.9,250.9,250.44444444444446,250.625,251.42857142857144,251.33333333333331,254,255,255,255,255,24,24,24,24,24,24,24,32,32,32,40,42,42,42,42,42,42,44
Peak Threads Connected,1,1,4,8,8,8,11,11,11,11,11,21,21,21,21,21,21,21,21,21,55,55,55,55,55,55,55,55,55,55,43,43,43,43,43,43,43,43,43,43,18,60,75,111,140,172,210,251,255,255,255,256,256,256,256,256,256,256,256,256,256,255,255,255,255,255,255,255,255,255,255,255,24,24,24,24,24,24,24,40,40,40,40,44,44,44,44,44,44,44
Peak Threads Running,1,1,1,1,1,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,28,28,28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,25,25,8,41,63,105,135,168,210,249,255,255,255,255,255,255,255,255,255,255,255,255,255,254,255,255,255,255,255,255,255,255,255,255,7,7,7,7,7,7,7,20,20,20,20,33,33,33,33,33,33,33
opened_tables,0,0,0,0,0,0,0,0,0,0,0,0.3325573661456601,0.3740182022191746,0.3552129326306793,0.38107872446437463,0.5974905397331208,0.6649673057741328,0,0,0,0,0,0,0,0,0,0,0.3387987835783071,0.4386570178391113,0.40383089901787966,0.638312210822772,0.7382264277340479,0.8381652560608235,0.9381194329444236,0.8917623453349682,0.8893829905503058,0.8890864636585908,1.2222222222222223,1.3333333333333335,1.3333333333333335,1.5555555555555558,1.5555555555555558,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.2222222222222223,0.7777777777777779,0.64665,0.4355428571428571,0.11036666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_hits,287.77777777777777,285.33333333333337,305.77777777777777,597.8888888888889,867.5555555555557,1153.7777777777778,1422.6666666666667,1348.588575,1330.1478857142856,1316.8950666666665,1311.50016,2675.0914532756897,2646.6774716369528,2191.5453900204147,1988.595810496595,2578.1716789484167,2504.5993571982713,504.9640167364017,417.6,417.6,417.6,417.6,417.6,417.6,417.6,349.4560669456067,522.7121926229509,622.203966041561,694.1016212274205,795.1430401662051,885.594361295514,990.0846773293139,1014.2996977273193,1025.2472752791368,1006.1308661241779,832.6848249027238,750.83351855968,724,700.5555555555555,693.5555555555555,685.3333333333334,728.6666666666667,825.3333333333334,852.2222222222223,811.2222222222223,760,741.4444444444445,616.9041,517.9693428571428,410.67436666666663,326.86308,203.94575,149.70933333333335,126.1182,108.1874,2529.730500499073,2529.730500499073,2529.730500499073,1625.0241610738256,2377.330350484713,2377.330350484713,2377.330350484713,1714.1740492170022,1476.441014168531
table_open_cache_misses,0,0,0,0,0,0,0,0,0,0,0,0.3325573661456601,0.3740182022191746,0.3552129326306793,0.38107872446437463,0.5974905397331208,0.6649673057741328,0,0,0,0,0,0,0,0,0,0,0.3387987835783071,0.4386570178391113,0.40383089901787966,0.638312210822772,0.7382264277340479,0.8381652560608235,0.9381194329444236,0.8917623453349682,0.8893829905503058,0.8890864636585908,1.2222222222222223,1.3333333333333335,1.3333333333333335,1.5555555555555558,1.5555555555555558,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.2222222222222223,0.7777777777777779,0.64665,0.4355428571428571,0.11036666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table_open_cache_overflows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14621900594637044,0.13461029967262655,0.3829873264936632,0.49215095182269863,0.5986894686148738,0.5863246455902648,0.5573514658343551,0.5558643690939411,0.777950655701267,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.1111111111111112,0.6666666666666667,0.64665,0.4355428571428571,0.11036666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sort Scan,1.1111111111111112,0.888888888888889,1.1111111111111112,1,1,1.1111111111111112,1.1111111111111112,0.8622,0.7621999999999999,0.6622,0.67464,0.9976720984369803,1.1220546066575239,0.8288301761382518,0.7621574489287493,0.995817566221868,0.9974509586611993,0.24184100418410043,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16736401673640167,0,0.3387987835783071,0.2924380118927409,0.40383089901787966,0.638312210822772,0.7382264277340479,0.8381652560608235,0.8208545038263706,0.8917623453349682,1.1117287381878822,1.0002222716159146,1.1111111111111112,1.1111111111111112,1,0.888888888888889,0.888888888888889,1,1.1111111111111112,0.888888888888889,0.888888888888889,1,0.8622,0.7621999999999999,0.7725666666666666,0.67464,0.57775,0.36219999999999997,0.3933,0.32439999999999997,0.9981462997290746,0.9981462997290746,0.9981462997290746,0.5097315436241611,0.7457121551081284,0.7457121551081284,0.7457121551081284,0.537695749440716,0.46312453392990305
Slow Queries,5.555555555555555,5.444444444444445,6.111111111111112,7.888888888888888,9.88888888888889,12.333333333333334,14.444444444444446,13.14855,12.630742857142856,12.361066666666666,12.03108,22.94645826405055,23.313801271661884,19.181498362056683,17.275568842384985,22.107149970125473,21.943921090546382,4.594979079497908,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.1799163179916317,8.141188524590163,9.655765331981751,13.890805564905193,14.134081465625789,15.574817944075637,16.364019148104727,16.64356722749349,17.003414722117675,16.832014268197526,14.34130072262368,13.336296954878861,10.666666666666668,12.444444444444446,12.777777777777779,13.333333333333334,13.666666666666668,14.222222222222223,14.777777777777777,14,13.222222222222223,12.88888888888889,9.69975,7.622,5.9597999999999995,5.059800000000001,3.9287,2.776866666666667,2.3598,1.7841999999999998,18.251818052188792,18.251818052188792,18.251818052188792,10.87427293064877,15.908525975640071,15.908525975640071,15.908525975640071,11.470842654735273,9.879990057171266
Aborted Connects (attempts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aborted Clients (timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table Locks Immediate,60.66666666666667,58.333333333333336,69.66666666666667,223.33333333333334,365.11111111111114,516.6666666666667,657.7777777777778,631.022625,630.0127428571428,632.2906333333333,639.44628,1322.6914976166722,1309.3130532352575,1084.583487632341,983.8182403255272,1277.2356104361681,1235.5092541283389,251.75648535564855,208.2,208.2,208.2,208.2,208.2,208.2,208.2,174.22594142259413,242.79897540983606,291.0281550937658,323.5826601593178,370.17832409972306,412.2220257493462,462.25278149946973,465.4211929012029,461.3202311504203,444.76646973581535,360.8671484157866,319.84885530117805,304.8888888888889,296.11111111111114,293.8888888888889,290.22222222222223,317.6666666666667,374.11111111111114,389.44444444444446,365.22222222222223,335.33333333333337,327.55555555555554,268.35974999999996,221.1468857142857,169.5232,130.31796000000003,69.79220000000001,49.50066666666667,46.9338,47.200199999999995,1247.9680593184087,1247.9680593184087,1247.9680593184087,798.4095078299777,1168.0338056176984,1168.0338056176984,1168.0338056176984,842.2107755406414,725.4073949788715
Table Locks Waited,0,0,0.11111111111111112,3.7777777777777777,8.11111111111111,11.333333333333334,14.666666666666668,14.2263,14.372914285714284,14.5684,14.842080000000001,28.378228577762997,27.80201969829198,21.786393201348332,19.689067430659357,24.895439155546704,26.266208578078242,4.836820083682008,4,4,4,4,4,4,4,3.3472803347280333,15.324590163934426,16.770539787126204,16.961404689778973,16.01862566104256,16.596117481392074,16.240981410149054,15.80540197143267,15.478970643582988,14.714078698026976,8.337965536409117,5.667926205823517,5.333333333333334,6.333333333333334,7.111111111111112,7.222222222222223,8.444444444444445,9.333333333333334,9.444444444444445,8.666666666666668,7.444444444444445,6.111111111111112,4.634325,2.722142857142857,2.4280666666666666,1.2368400000000002,0.34665,0.24146666666666666,0.2622,0.32439999999999997,26.664765435619564,26.664765435619564,26.664765435619564,16.821140939597317,24.608501118568235,24.608501118568235,24.608501118568235,17.743959731543626,15.283109619686801
